Ethereum,July,Sunday,Exploit,FL Low 100K's,FR Low 100K's
CEX,March,Tuesday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
Ethereum,June,Sunday,Exploit,FL Low Millions,FR Low Millions
Ethereum,February,Saturday,Exploit,FL Low Millions,FR Low Millions
Other,April,Friday,Exploit,FL Low 100K's,FR Less Than 100K (>0)
Ethereum,April,Sunday,Exploit,FL Low 100K's,FR Low 100K's
Ethereum,March,Tuesday,Exploit,FL Low Millions,FR Low Millions
Ethereum,October,Monday,Exploit,FL Low Millions,FR Low Millions
Solana,August,Thursday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
Ethereum,August,Tuesday,Exploit,FL High 100K's,FR Low 100K's
CEX,October,Friday,Exploit,FL Low Millions,FR Low Millions
Solana,December,Tuesday,Exploit,FL Low Millions,FR Low Millions
Ethereum,April,Saturday,Exploit,FL Low Millions,FR Low Millions
Ethereum,September,Tuesday,Exploit,FL Low Millions,FR Low Millions
CEX,September,Friday,Exploit,FL Low Millions,FR Low Millions
Ronin,March,Tuesday,Exploit,FL High Millions,FR Low Millions
Polygon,July,Friday,Exploit,FL Low Millions,FR Low Millions
Other,October,Sunday,Exploit,FL Low Millions,FR Low Millions
Heco,March,Wednesday,Exit Scam,FL Low 100K's,FR Low 100K's
Ethereum,April,Friday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
Ethereum,September,Thursday,Exploit,FL Low Millions,FR Low Millions
CEX,January,Friday,Exploit,FL High Millions,FR High Millions
CEX,January,Monday,Exit Scam,FL Billions,FR Low Millions
Solana,July,Saturday,Exploit,FL Low Millions,FR Low Millions
Binance,August,Wednesday,Exploit,FL Low Millions,FR Low Millions
Fantom,August,Wednesday,Exploit,FL Low 100K's,FR Low 100K's
CEX,July,Thursday,Exploit,FL Low Millions,FR Low Millions
Ethereum,December,Friday,Exploit,FL Low Millions,FR Low Millions
Ethereum,June,Monday,Exploit,FL Low Millions,FR Low Millions
Ethereum,May,Sunday,Exploit,FL Low Millions,FR Low Millions
Ethereum,January,Monday,Exploit,FL Low Millions,FR Less Than 100K (>0)
Ethereum,September,Sunday,Exploit,FL Low Millions,FR Low Millions
Solana,August,Friday,Exit Scam,FL Low Millions,FR Low Millions
Ethereum,February,Friday,Exploit,FL Low Millions,FR Low Millions
Ethereum,April,Sunday,Exploit,FL Low Millions,FR Low Millions
Ethereum,August,Tuesday,Exploit,FL High Millions,FR High Millions
Heco,July,Friday,Exploit,FL Low Millions,FR Low Millions
Ethereum,May,Thursday,Exploit,FL High 100K's,FR High 100K's
Binance,May,Wednesday,Exploit,FL Low Millions,FR Low 100K's
Other,June,Thursday,Exploit,FL Low Millions,FR Low Millions
Binance,July,Sunday,Exploit,FL High 100K's,FR High 100K's
Ethereum,December,Monday,Exploit,FL Low Millions,FR Low Millions
CEX,August,Tuesday,Exploit,FL Low Millions,FR Low Millions
Ethereum,August,Monday,Exploit,FL Low Millions,FR Low Millions
Ethereum,October,Saturday,Exploit,FL Low Millions,FR Low Millions
Arbitrum,April,Saturday,Exploit,FL Low Millions,FR Low Millions
Ethereum,October,Saturday,Exploit,FL Low Millions,FR Low Millions
CEX,June,Wednesday,Exploit,FL Low Millions,FR Low Millions
Ethereum,March,Sunday,Exploit,FL Low Millions,FR High 100K's
Near,August,Sunday,Exploit,FL Low Millions,FR Low Millions
CEX,January,Monday,Exploit,FL Low Millions,FR Low Millions
Ethereum,August,Tuesday,Exploit,FL Low 100K's,FR Low 100K's
Binance,January,Monday,Exploit,FL High 100K's,FR Low 100K's
Ethereum,July,Wednesday,Exploit,FL Low Millions,FR Low Millions
Elrond,June,Sunday,Exploit,FL Low Millions,FR Low Millions
CEX,January,Tuesday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
CEX,March,Friday,Exploit,FL Low Millions,FR Low Millions
Ethereum,October,Saturday,Exploit,FL Low 100K's,FR Low 100K's
Ethereum,June,Saturday,Exploit,FL High 100K's,FR High 100K's
Ethereum,March,Saturday,Exploit,FL High 100K's,FR High 100K's
Ethereum,January,Tuesday,Exploit,FL Low Millions,FR Low Millions
Binance,June,Tuesday,Exploit,FL Low Millions,FR Low Millions
Solana,February,Wednesday,Exploit,FL Low Millions,FR Low Millions
Binance,October,Saturday,Exploit,FL Low Millions,FR Low Millions
Polygon,July,Sunday,Exploit,FL Low 100K's,FR Low 100K's
